2024-02-28 13:19:48,735 INFO    StreamThr :1411684 [internal.py:wandb_internal():87] W&B internal server running at pid: 1411684, started at: 2024-02-28 13:19:48.735030
2024-02-28 13:19:48,737 DEBUG   HandlerThread:1411684 [handler.py:handle_request():144] handle_request: status
2024-02-28 13:19:48,746 INFO    WriterThread:1411684 [datastore.py:open_for_write():85] open: ./wandb/run-20240228_131948-l7t4ijwb/run-l7t4ijwb.wandb
2024-02-28 13:19:48,746 DEBUG   SenderThread:1411684 [sender.py:send():334] send: header
2024-02-28 13:19:48,789 DEBUG   SenderThread:1411684 [sender.py:send():334] send: run
2024-02-28 13:19:49,088 INFO    SenderThread:1411684 [dir_watcher.py:__init__():216] watching files in: ./wandb/run-20240228_131948-l7t4ijwb/files
2024-02-28 13:19:49,088 INFO    SenderThread:1411684 [sender.py:_start_run_threads():1065] run started: l7t4ijwb with start time 1709144388.734215
2024-02-28 13:19:49,094 DEBUG   SenderThread:1411684 [sender.py:send_request():361] send_request: summary_record
2024-02-28 13:19:49,094 INFO    SenderThread:1411684 [sender.py:_save_file():1319] saving file wandb-summary.json with policy end
2024-02-28 13:19:49,096 DEBUG   HandlerThread:1411684 [handler.py:handle_request():144] handle_request: check_version
2024-02-28 13:19:49,096 DEBUG   SenderThread:1411684 [sender.py:send_request():361] send_request: check_version
2024-02-28 13:19:49,174 DEBUG   HandlerThread:1411684 [handler.py:handle_request():144] handle_request: run_start
2024-02-28 13:19:49,215 DEBUG   HandlerThread:1411684 [system_info.py:__init__():31] System info init
2024-02-28 13:19:49,216 DEBUG   HandlerThread:1411684 [system_info.py:__init__():46] System info init done
2024-02-28 13:19:49,216 INFO    HandlerThread:1411684 [system_monitor.py:start():151] Starting system monitor
2024-02-28 13:19:49,216 INFO    SystemMonitor:1411684 [system_monitor.py:_start():116] Starting system asset monitoring threads
2024-02-28 13:19:49,217 INFO    HandlerThread:1411684 [system_monitor.py:probe():172] Collecting system info
2024-02-28 13:19:49,218 INFO    SystemMonitor:1411684 [interfaces.py:start():168] Started cpu
2024-02-28 13:19:49,218 INFO    SystemMonitor:1411684 [interfaces.py:start():168] Started disk
2024-02-28 13:19:49,220 INFO    SystemMonitor:1411684 [interfaces.py:start():168] Started gpu
2024-02-28 13:19:49,221 INFO    SystemMonitor:1411684 [interfaces.py:start():168] Started memory
2024-02-28 13:19:49,221 INFO    SystemMonitor:1411684 [interfaces.py:start():168] Started network
2024-02-28 13:19:49,822 DEBUG   HandlerThread:1411684 [system_info.py:probe():195] Probing system
2024-02-28 13:19:49,826 DEBUG   HandlerThread:1411684 [system_info.py:_probe_git():180] Probing git
2024-02-28 13:19:49,839 DEBUG   HandlerThread:1411684 [system_info.py:_probe_git():188] Probing git done
2024-02-28 13:19:49,839 DEBUG   HandlerThread:1411684 [system_info.py:probe():241] Probing system done
